Altium Designer Pick and Place Locations
D:\Altium_WorkSpace\1_Nanorack_DAL\SpaceLiinTech_BEE_DAL_PDU_HW_V1.0\01_Design Files\Project Outputs for DAL_PDU\Pick Place for DAL_DPU.csv

========================================================================================================================
File Design Information:

Date:       25/08/26
Time:       15:29
Revision:   a8adda581d44170c00985205c386e8a7dc9aa3de
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"XC1","FC5BQCCMC12.0-T1","TopLayer","AP7-00039","75.0410","52.7778","180","Fox FQ5032B 12.0MHz SMD crystal 738B-12"
"R57","120R","TopLayer","RES_C_1608X60","9.4150","9.7790","90","RES"
"SB2","N/A","TopLayer","JUMPER_1608","56.8937","36.6372","270",""
"SB1","N/A","TopLayer","JUMPER_1608","11.1900","9.7855","90",""
"J1","Header 8x1","TopLayer","Header_254P_8x1","73.0126","84.2982","180",""
"U5","TPS55287RYQR","TopLayer","VQFN_TPS","24.5868","60.6699","0",""
"U2","TPS259470ARPWR","TopLayer","TPS259474","26.2250","11.1713","90",""
"C90","47uF","TopLayer","CAP_C_3225X80","17.3041","54.3560","180","CAP"
"R47","22R","TopLayer","RES_C_1608X60","85.7520","53.0076","270","RES"
"R46","22R","TopLayer","RES_C_1608X60","84.1010","53.0076","270","RES"
"R45","22R","TopLayer","RES_C_1608X60","82.4500","53.0076","270","RES"
"R44","22R","TopLayer","RES_C_1608X60","80.7990","53.0076","270","RES"
"R43","22R","TopLayer","RES_C_1608X60","59.8170","65.5320","180","RES"
"R37","22R","TopLayer","RES_C_1608X60","59.8170","62.4840","0","RES"
"R36","22R","TopLayer","RES_C_1608X60","59.8170","70.1040","180","RES"
"R35","22R","TopLayer","RES_C_1608X60","59.8170","64.0080","0","RES"
"R34","22R","TopLayer","RES_C_1608X60","59.8170","71.6280","180","RES"
"R33","22R","TopLayer","RES_C_1608X60","59.8170","73.1520","180","RES"
"R32","1k","TopLayer","RES_C_1608X60","70.3580","78.6130","270","RES"
"C60","0.1uF","TopLayer","CAP_C_1608X80","68.8340","78.6130","90","CAP"
"C103","47uF","TopLayer","CAP_C_3225X80","77.9780","23.9168","90","CAP"
"C95","47uF","TopLayer","CAP_C_3225X80","77.9780","33.9560","270","CAP"
"R84","1.5k","TopLayer","RES_C_1608X60","85.1280","69.5905","180","RES"
"R83","1.5k","TopLayer","RES_C_1608X60","85.1144","72.7922","180","RES"
"R82","1.5k","TopLayer","RES_C_1608X60","85.1280","66.3333","180","RES"
"R80","1.5k","TopLayer","RES_C_1608X60","77.5463","12.0590","90","RES"
"R79","5.1k","TopLayer","RES_C_1608X60","75.2985","12.0590","90","RES"
"D13","_LED_BLUE","TopLayer","LED_0603","85.1280","71.1758","0",""
"D12","_LED_BLUE","TopLayer","LED_0603","85.1079","74.3981","0",""
"D11","_LED_BLUE","TopLayer","LED_0603","85.1280","67.9903","0",""
"D9","_LED_BLUE","TopLayer","LED_0603","77.5588","8.9210","90",""
"R66","Shunt 4 Pin","TopLayer","RES_C_1206_SHUNT","30.3357","42.0100","270","Shunt"
"U7","MCP2515-SO","TopLayer","SOIC-20","46.6090","60.7060","90","Stand-Alone CAN Controller with SPI Interface"
"U12","SN65C3232PWR","TopLayer","TSSOP-16","24.6121","80.3910","0",""
"U8","SN65HVD251DR","TopLayer","SOIC-8","43.8020","45.8470","180",""
"R56","10k","TopLayer","RES_C_1608X60","43.8150","41.9100","180","RES"
"R52","4.7k","TopLayer","RES_C_1608X60","51.5620","74.4220","90","RES"
"R51","4.7k","TopLayer","RES_C_1608X60","51.5620","78.2320","270","RES"
"C82","0.1uF","TopLayer","CAP_C_1608X80","17.7800","81.5340","0","CAP"
"C80","1uF","TopLayer","CAP_C_1608X80","30.4800","82.2575","90","CAP"
"C79","0.1uF","TopLayer","CAP_C_1608X80","32.2426","82.2575","90","CAP"
"C72","0.1uF","TopLayer","CAP_C_1608X80","48.7922","45.8470","270","CAP"
"C71","1uF","TopLayer","CAP_C_1608X80","50.6922","45.8470","90","CAP"
"C44","47uF","TopLayer","CAP_C_3225X80","32.2901","48.1330","180","CAP"
"C43","47uF","TopLayer","CAP_C_3225X80","27.2101","48.1330","0","CAP"
"D14","SMBJ16A","TopLayer","DO-214AA_SMB","16.8300","34.7940","270","TVS Diode"
"C100","0.1uF","TopLayer","CAP_C_1608X80","22.9870","42.6720","270","CAP"
"C99","10uF","TopLayer","CAP_C_2012X110","20.4472","42.6720","270","CAP"
"L1","8.2uH","TopLayer","INDUCTOR_6363","54.9290","23.2210","180","Inductor"
"D7","_LED_BLUE","TopLayer","LED_0603","79.8067","8.9210","90",""
"C38","1uF","TopLayer","CAP_C_1608X80","26.4481","54.9910","0","CAP"
"C35","0.1uF","TopLayer","CAP_C_1608X80","26.4252","56.7690","0","CAP"
"C20","22uF","TopLayer","CAP_C_2012X110","62.4838","10.2800","90","CAP"
"C21","22uF","TopLayer","CAP_C_2012X110","67.0558","10.2800","90","CAP"
"L2","8.2uH","TopLayer","INDUCTOR_6363","54.9290","10.3870","180","Inductor"
"D6","DNP/SS54","TopLayer","DO-214AC_SMA","43.7530","15.2400","180","DIODE SCHOTTKY"
"D5","DNP/SS54","TopLayer","DO-214AC_SMA","43.7530","28.0740","180","DIODE SCHOTTKY"
"C14","0.1uF","TopLayer","CAP_C_1608X80","49.3410","11.9490","270","CAP"
"R5","16.9k","TopLayer","RES_C_1608X60","25.2110","6.7695","90","RES"
"D4","SMBJ16A","TopLayer","DO-214AA_SMB","17.0180","10.9515","270","TVS Diode"
"D1","SS54","TopLayer","DO-214AC_SMA","30.4180","23.6400","270","DIODE SCHOTTKY"
"C6","1nF","TopLayer","CAP_C_1608X80","27.2430","14.9970","90","CAP"
"C3","22uF","TopLayer","CAP_C_2012X110","33.4657","8.8900","90","CAP"
"R73","22R","TopLayer","RES_C_1608X60","59.8170","44.0690","0","RES"
"R72","22R","TopLayer","RES_C_1608X60","59.8170","45.7200","180","RES"
"R59","120R","TopLayer","RES_C_1608X60","56.8937","33.6847","90","RES"
"R55","4.7k","TopLayer","RES_C_1608X60","46.1010","69.7230","270","RES"
"C73","1uF","TopLayer","CAP_C_1608X80","62.6110","31.3690","0","CAP"
"C59","12pF","TopLayer","CAP_C_1608X80","64.8716","51.1810","90","CAP"
"C57","12pF","TopLayer","CAP_C_1608X80","63.0936","51.1810","90","CAP"
"C75","0.1uF","TopLayer","CAP_C_1608X80","23.2974","31.4960","90","CAP"
"C68","0.1uF","TopLayer","CAP_C_1608X80","42.1640","68.9230","180","CAP"
"U14","24LC04BT-E/SN","TopLayer","SOIC_127","43.7640","35.5942","0",""
"R76","10k","TopLayer","RES_C_1608X60","48.8950","37.0840","270","RES"
"C89","0.1uF","TopLayer","CAP_C_1608X80","45.7200","39.4286","0","CAP"
"C86","1uF","TopLayer","CAP_C_1608X80","41.9152","39.4286","180","CAP"
"C98","47uF","TopLayer","CAP_C_3225X80","16.8300","42.1640","270","CAP"
"C46","0.1uF","TopLayer","CAP_C_1608X80","30.2581","56.7069","0","CAP"
"C28","0.1uF","TopLayer","CAP_C_1608X80","33.4658","12.8560","90","CAP"
"C16","22uF","TopLayer","CAP_C_2012X110","67.0558","23.1140","90","CAP"
"P7","532610671","TopLayer","532610671","87.3782","21.5908","90",""
"C108","0.1uF","TopLayer","CAP_C_1608X80","83.0580","19.4618","270","CAP"
"C107","22uF","TopLayer","CAP_C_2012X110","81.0262","19.4618","270","CAP"
"C105","0.1uF","TopLayer","CAP_C_1608X80","83.0580","23.7198","90","CAP"
"C104","22uF","TopLayer","CAP_C_2012X110","81.0258","23.7198","90","CAP"
"C97","0.1uF","TopLayer","CAP_C_1608X80","83.0580","34.1530","270","CAP"
"C96","22uF","TopLayer","CAP_C_2012X110","81.0262","34.1530","270","CAP"
"C94","0.1uF","TopLayer","CAP_C_1608X80","83.0580","38.4110","90","CAP"
"C93","22uF","TopLayer","CAP_C_2012X110","81.0258","38.4110","90","CAP"
"C102","0.1uF","TopLayer","CAP_C_1608X80","17.4311","49.1490","180","CAP"
"C101","22uF","TopLayer","CAP_C_2012X110","17.3041","51.3078","180","CAP"
"C106","47uF","TopLayer","CAP_C_3225X80","77.9780","19.2648","270","CAP"
"U3","LMR33630ADDA","TopLayer","HSOIC_8","43.7530","23.2210","0",""
"U4","LMR33630ADDA","TopLayer","HSOIC_8","43.7530","10.3870","0",""
"R13","100k","TopLayer","RES_C_1608X60","43.7530","6.1070","0","RES"
"R16","24.9k","TopLayer","RES_C_1608X60","47.0550","18.9410","0","RES"
"R14","20k","TopLayer","RES_C_1608X60","37.3380","21.0890","180","RES"
"R17","24.9k","TopLayer","RES_C_1608X60","47.0550","6.1070","0","RES"
"R15","20k","TopLayer","RES_C_1608X60","37.3380","8.2550","180","RES"
"R12","100k","TopLayer","RES_C_1608X60","43.7530","18.9410","0","RES"
"C32","1uF","TopLayer","CAP_C_1608X80","49.3410","8.9010","270","CAP"
"C30","DNP/100nF","TopLayer","CAP_C_1608X80","40.4510","6.1070","180","CAP"
"C27","10uF","TopLayer","CAP_C_2012X110","35.8138","11.1760","90","CAP"
"C24","0.1uF","TopLayer","CAP_C_1608X80","69.0880","10.2800","90","CAP"
"C26","0.1uF","TopLayer","CAP_C_1608X80","38.2920","23.8940","90","CAP"
"C17","22uF","TopLayer","CAP_C_2012X110","60.1978","23.1140","90","CAP"
"C19","0.1uF","TopLayer","CAP_C_1608X80","69.0880","23.1140","90","CAP"
"C23","22uF","TopLayer","CAP_C_2012X110","64.7698","10.2800","90","CAP"
"C29","DNP/100nF","TopLayer","CAP_C_1608X80","40.4510","18.9410","180","CAP"
"C25","10uF","TopLayer","CAP_C_2012X110","35.8138","24.0100","90","CAP"
"C22","22uF","TopLayer","CAP_C_2012X110","60.1978","10.2800","90","CAP"
"C13","0.1uF","TopLayer","CAP_C_1608X80","49.3410","24.7830","270","CAP"
"C15","22uF","TopLayer","CAP_C_2012X110","62.4838","23.1140","90","CAP"
"C18","22uF","TopLayer","CAP_C_2012X110","64.7698","23.1140","90","CAP"
"C31","1uF","TopLayer","CAP_C_1608X80","49.3410","21.7350","270","CAP"
"H4","Shield","TopLayer","HEX-M3","89.3000","5.0000","0",""
"P4","532610671","TopLayer","532610671","87.3230","36.2820","90",""
"R11","10k","TopLayer","RES_C_1608X60","16.2560","17.5260","270","RES"
"Q1","AO3400","TopLayer","SOT-23","19.5580","17.5260","0","Mosfet N"
"R54","4.7k","TopLayer","RES_C_1608X60","51.0540","69.7230","270","RES"
"R30","11.3k","TopLayer","RES_C_1608X60","33.7981","64.3765","0","RES"
"R22","102k","TopLayer","RES_C_1608X60","33.7981","58.4849","0","RES"
"P1","UART_CONSOLE","TopLayer","0532610471","46.5000","84.1270","180",""
"NT1","NT","TopLayer","NETTIE_SMD","32.0040","66.5480","0","Net Tie SMD"
"C65","1uF","TopLayer","CAP_C_1608X80","64.2620","78.6130","90","CAP"
"R77","10k","TopLayer","RES_C_1608X60","46.4820","79.1210","180","RES"
"R75","4.7k","TopLayer","RES_C_1608X60","41.7060","78.2320","270","RES"
"R74","4.7k","TopLayer","RES_C_1608X60","41.6560","74.4220","90","RES"
"C88","1uF","TopLayer","CAP_C_1608X80","48.2600","73.4060","0","CAP"
"C87","1uF","TopLayer","CAP_C_1608X80","44.9580","73.4060","180","CAP"
"U15","PCA9508DP,118","TopLayer","TSOP8","46.4820","76.3270","180",""
"C39","0.1uF","TopLayer","CAP_C_1608X80","18.8281","64.3890","0","CAP"
"U13","TPL5010QDDCTQ1","TopLayer","SOT-23-THN-6","64.4402","44.0465","180",""
"C53","1uF","TopLayer","CAP_C_1608X80","22.7651","54.9910","180","CAP"
"X2","Crystal 2 Pins","TopLayer","CRYSTAL_NX2012SA","63.9826","53.9750","180","Crystal"
"SW1","SW2","TopLayer","SW1-SMD","80.2640","45.9740","180","Switch button 2 pin"
"R71","10k","TopLayer","RES_C_1608X60","68.8340","45.7200","180","RES"
"R70","22R","TopLayer","RES_C_1608X60","59.8170","42.4180","0","RES"
"R69","10k","TopLayer","RES_C_1608X60","68.8340","42.4180","0","RES"
"R78","1.5k","TopLayer","RES_C_1608X60","79.7942","12.0590","90","RES"
"R81","5.1k","TopLayer","RES_C_1608X60","82.0420","12.0590","90","RES"
"R68","10k","TopLayer","RES_C_1608X60","31.4960","79.4035","180","RES"
"R67","10k","TopLayer","RES_C_1608X60","31.4426","77.7115","180","RES"
"R9","47.5k","TopLayer","RES_C_1608X60","27.2555","19.6035","90","RES"
"R3","16.9k","TopLayer","RES_C_1608X60","25.2110","19.6035","90","RES"
"R1","499k","TopLayer","RES_C_1608X60","23.1665","19.6035","270","RES"
"R4","10k","TopLayer","RES_C_1608X60","85.1280","64.6629","180","RES"
"R60","10k","TopLayer","RES_C_1608X60","59.0935","33.6847","270","RES"
"R58","10k","TopLayer","RES_C_1608X60","59.0935","36.6437","90","RES"
"R40","22R","TopLayer","RES_C_1608X60","59.8170","59.4360","0","RES"
"R38","22R","TopLayer","RES_C_1608X60","59.8170","68.5800","180","RES"
"R31","10k","TopLayer","RES_C_1608X60","59.8170","74.6760","0","RES"
"R23","332k","TopLayer","RES_C_1608X60","15.6531","59.5630","270","RES"
"D8","_LED_BLUE","TopLayer","LED_0603","75.3110","8.9210","90",""
"D10","_LED_BLUE","TopLayer","LED_0603","82.0545","8.9210","90",""
"C85","0.1uF","TopLayer","CAP_C_1608X80","68.8340","44.0565","180","CAP"
"C84","0.47uF","TopLayer","CAP_C_1608X80","17.7800","77.7240","0","CAP"
"C83","0.47uF","TopLayer","CAP_C_1608X80","17.7800","79.4160","0","CAP"
"C81","0.47uF","TopLayer","CAP_C_1608X80","17.7800","83.1740","0","CAP"
"C2","0.1uF","TopLayer","CAP_C_1608X80","33.4658","25.6900","90","CAP"
"C1","22uF","TopLayer","CAP_C_2012X110","33.4657","21.7240","90","CAP"
"C10","0.1uF","TopLayer","CAP_C_1608X80","23.1015","23.8030","90","CAP"
"C41","0.1uF","TopLayer","CAP_C_1608X80","26.5751","64.3890","0","CAP"
