Designator,Comment,Manufacturer 1,Manufacturer Part Number 1,Supplier 1,Supplier Part Number 1
R56,1k,Panasonic,ERJ-3EKF1001V,DigiKey,P1.00KHCT-ND
C33,1uF,Samsung Electro-Mechanics,CL10A105KA8NNNC,DigiKey,1276-1008-1-ND
C34,1uF,Samsung Electro-Mechanics,CL10A105KA8NNNC,DigiKey,1276-1008-1-ND
C40,1uF,Samsung Electro-Mechanics,CL10A105KA8NNNC,DigiKey,1276-1008-1-ND
C46,1uF,Samsung Electro-Mechanics,CL31B105KBFNNNE,DigiKey,1276-1025-1-ND
C54,1uF,Samsung Electro-Mechanics,CL10A105KA8NNNC,DigiKey,1276-1008-1-ND
C65,1uF,Samsung Electro-Mechanics,CL10A105KA8NNNC,DigiKey,1276-1008-1-ND
C68,1uF,Samsung Electro-Mechanics,CL10A105KA8NNNC,DigiKey,1276-1008-1-ND
C72,1uF,Samsung Electro-Mechanics,CL10A105KA8NNNC,DigiKey,1276-1008-1-ND
C75,1uF,Samsung Electro-Mechanics,CL10A105KA8NNNC,DigiKey,1276-1008-1-ND
C79,1uF,Samsung Electro-Mechanics,CL10A105KA8NNNC,DigiKey,1276-1008-1-ND
C83,1uF,Samsung Electro-Mechanics,CL10A105KA8NNNC,DigiKey,1276-1008-1-ND
C84,1uF,Samsung Electro-Mechanics,CL10A105KA8NNNC,DigiKey,1276-1008-1-ND
C85,1uF,Samsung Electro-Mechanics,CL10A105KA8NNNC,DigiKey,1276-1008-1-ND
C86,1uF,Samsung Electro-Mechanics,CL10A105KA8NNNC,DigiKey,1276-1008-1-ND
C87,1uF,Samsung Electro-Mechanics,CL10A105KA8NNNC,DigiKey,1276-1008-1-ND
C89,1uF,Samsung Electro-Mechanics,CL10A105KA8NNNC,DigiKey,1276-1008-1-ND
C90,1uF,Samsung Electro-Mechanics,CL10A105KA8NNNC,DigiKey,1276-1008-1-ND
C91,1uF,Samsung Electro-Mechanics,CL10A105KA8NNNC,DigiKey,1276-1008-1-ND
R8,1.33k,Panasonic,ERJ-3EKF1331V,DigiKey,P1.33KHCT-ND
R67,1.5k,Panasonic,ERJ-3EKF1501V,DigiKey,P1.50KHCT-ND
R68,1.5k,Panasonic,ERJ-3EKF1501V,DigiKey,P1.50KHCT-ND
R70,1.5k,Panasonic,ERJ-3EKF1501V,DigiKey,P1.50KHCT-ND
R71,1.5k,Panasonic,ERJ-3EKF1501V,DigiKey,P1.50KHCT-ND
R72,1.5k,Panasonic,ERJ-3EKF1501V,DigiKey,P1.50KHCT-ND
Q1,2N7002,ON Semiconductor,2N7002LT1G,DigiKey,2N7002LT1GOSCT-ND
C4,2.2nF,Samsung Electro-Mechanics,CL10B222KB8NNNC,DigiKey,1276-1181-1-ND
C2,3.3nF,Samsung Electro-Mechanics,CL10B332KB8NNNC,DigiKey,1276-1183-1-ND
R5,3.32k,Panasonic,ERJ-3EKF3321V,DigiKey,P3.32KHCT-ND
R6,3.32k,Panasonic,ERJ-3EKF3321V,DigiKey,P3.32KHCT-ND
R30,4.7k,Panasonic,ERJ-3EKF4701V,DigiKey,P4.70KHCT-ND
R33,4.7k,Panasonic,ERJ-3EKF4701V,DigiKey,P4.70KHCT-ND
R34,4.7k,Panasonic,ERJ-3EKF4701V,DigiKey,P4.70KHCT-ND
R35,4.7k,Panasonic,ERJ-3EKF4701V,DigiKey,P4.70KHCT-ND
R36,4.7k,Panasonic,ERJ-3EKF4701V,DigiKey,P4.70KHCT-ND
R43,4.7k,Panasonic,ERJ-3EKF4701V,DigiKey,P4.70KHCT-ND
R44,4.7k,Panasonic,ERJ-3EKF4701V,DigiKey,P4.70KHCT-ND
R62,4.7k,Panasonic,ERJ-3EKF4701V,DigiKey,P4.70KHCT-ND
R63,4.7k,Panasonic,ERJ-3EKF4701V,DigiKey,P4.70KHCT-ND
