Altium Designer Pick and Place Locations
D:\BEE-DAL\REPO\DAL_PDU\01_Design Files\Project Outputs for DAL_PDU\Pick Place for DAL_DPU.csv

========================================================================================================================
File Design Information:

Date:       11-08-26
Time:       12:28
Revision:   f2cee164ec41141af2ea1c07f9e451983bc67b10
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"P10","+5V TEST","TopLayer","HDR/Header/2/BOX/No_STEP","44.0690","7.8740","0","Header, 2-Pin"
"P8","+5V_TRANS TEST","TopLayer","HDR/Header/2/BOX/No_STEP","66.8020","7.8740","0","Header, 2-Pin"
"P7","+VOUT TEST","TopLayer","HDR/Header/2/BOX/No_STEP","54.9910","7.8740","0","Header, 2-Pin"
"P5","+12V TEST","TopLayer","HDR/Header/2/BOX/No_STEP","32.0040","7.8740","0","Header, 2-Pin"
"P4","+12V IN","TopLayer","HDR/Header/2/BOX/No_STEP","17.7800","7.8740","0","Header, 2-Pin"
"R48","120R","TopLayer","RES_C_2012X65","87.5030","56.0068","180","RES"
"R37","120R","TopLayer","RES_C_1608X60","11.1760","10.1600","0","RES"
"JTAG","Header 4","TopLayer","HDR/Header/4/2mm","67.2620","82.0420","180","Header, 4-Pin"
"R44","4.7k","TopLayer","RES_C_1608X60","57.0230","70.9930","0","RES"
"C82","100nF","TopLayer","CAP_C_1608X80","36.3220","74.6760","0","CAP"
"C75","1uF","TopLayer","CAP_C_1608X80","88.2650","51.1810","270","CAP"
"C60","12pF","TopLayer","CAP_C_1608X80","65.0240","53.4670","90","CAP"
"C58","12pF","TopLayer","CAP_C_1608X80","63.2460","53.4670","90","CAP"
"C77","100nF","TopLayer","CAP_C_1608X80","37.2110","25.6540","180","CAP"
"C73","100nF","TopLayer","CAP_C_1608X80","41.4020","67.9450","270","CAP"
"C69","100nF","TopLayer","CAP_C_1608X80","58.4200","67.0560","90","CAP"
"U14","24LC04BT-E/SN","TopLayer","SOIC_127","50.4303","51.0472","0",""
"R64","10k","TopLayer","RES_C_1608X60","55.1180","52.4510","270","RES"
"C92","100nF","TopLayer","CAP_C_1608X80","55.0290","54.8640","0","CAP"
"C91","1uF","TopLayer","CAP_C_1608X80","51.9050","54.8640","180","CAP"
"C112","100uF","TopLayer","C_SMD_TAN_2312_(C)","83.5780","11.9380","180","Capacitor pol"
"C96","100uF","TopLayer","C_SMD_TAN_2312_(C)","77.5970","39.1040","270","Capacitor pol"
"C47","100nF","TopLayer","CAP_C_1608X80","28.5750","54.6100","90","CAP"
"C27","22uF","TopLayer","CAP_C_2012X110","45.8470","19.9280","270","CAP"
"TP2","","TopLayer","TP_1mm_SMD","61.5950","13.2080","180","Test Point"
"C16","22uF","TopLayer","CAP_C_2012X110","57.6580","13.4622","0","CAP"
"P9","532610671","TopLayer","532610671","87.3782","21.5908","90",""
"C114","100nF","TopLayer","CAP_C_1608X80","82.9310","19.8120","0","CAP"
"C113","22uF","TopLayer","CAP_C_2012X110","82.9310","16.7642","0","CAP"
"C111","100nF","TopLayer","CAP_C_1608X80","82.9310","23.4315","0","CAP"
"C110","22uF","TopLayer","CAP_C_2012X110","82.8040","25.4002","0","CAP"
"C100","100nF","TopLayer","CAP_C_1608X80","82.6770","33.7820","0","CAP"
"C99","22uF","TopLayer","CAP_C_2012X110","82.8150","30.8610","0","CAP"
"C98","100nF","TopLayer","CAP_C_1608X80","82.6770","37.7190","0","CAP"
"C97","22uF","TopLayer","CAP_C_2012X110","82.6770","39.6242","0","CAP"
"C109","100nF","TopLayer","CAP_C_1608X80","14.2240","48.2600","270","CAP"
"C108","22uF","TopLayer","CAP_C_2012X110","16.1292","48.2600","270","CAP"
"C107","100uF","TopLayer","C_SMD_TAN_2312_(C)","22.2250","41.4020","0","Capacitor pol"
"U3","LMR33630ADDA","TopLayer","HSOIC_8","47.7520","26.0680","90",""
"U4","LMR33630ADDA","TopLayer","HSOIC_8","65.6920","16.8910","0",""
"TP1","","TopLayer","TP_1mm_SMD","53.5560","23.4570","0","Test Point"
"R13","100k","TopLayer","RES_C_1608X60","71.1580","11.3030","180","RES"
"R16","24.9k","TopLayer","RES_C_1608X60","51.5620","29.8450","90","RES"
"R14","20k","TopLayer","RES_C_1608X60","51.8160","24.2190","90","RES"
"R17","24.9k","TopLayer","RES_C_1608X60","67.3100","13.0810","180","RES"
"R15","20k","TopLayer","RES_C_1608X60","63.7540","13.2080","0","RES"
"R12","100k","TopLayer","RES_C_1608X60","53.9750","30.7340","180","RES"
"L2","8.2uH/3A","TopLayer","INDUCTOR_6363","71.1084","25.4259","270","Inductor"
"L1","8.2uH/3A","TopLayer","INDUCTOR_6363","48.1447","37.4391","270","Inductor"
"C30","100nF","TopLayer","CAP_C_1608X80","61.2140","18.6690","90","CAP"
"C34","1uF","TopLayer","CAP_C_1608X80","70.6120","15.4940","270","CAP"
"C28","22uF","TopLayer","CAP_C_2012X110","59.3088","18.6690","90","CAP"
"C26","100nF","TopLayer","CAP_C_1608X80","77.5970","24.8920","0","CAP"
"C23","22uF","TopLayer","CAP_C_2012X110","77.5970","26.6702","0","CAP"
